Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,xGOT
1,Erling Haaland,no NOR,FW,Manchester City,eng Premier League,22,2000,30.8,36,116,53,45.7,3.77,1.72,0.25,0.55,12.6,0,7,7,28.4,23.1,0.2,7.6,5.9,29
3,Kylian Mbappé,fr FRA,FW,Paris S-G,fr Ligue 1,23,1998,31.3,29,144,73,50.7,4.6,2.33,0.18,0.36,15.9,1,3,5,26.3,22.2,0.15,2.7,3.8,26.7
6,Jonathan David,ca CAN,FW,Lille,fr Ligue 1,22,2000,35.2,24,95,44,46.3,2.7,1.25,0.15,0.32,15.8,0,10,11,23.6,15.1,0.16,0.4,-1.1,24.7
2,Harry Kane,eng ENG,FW,Tottenham,eng Premier League,29,1993,37.8,30,124,54,43.5,3.28,1.43,0.2,0.46,16,3,5,6,21.5,16.7,0.13,8.5,8.3,24.4
8,Folarin Balogun,us USA,FW,Reims,fr Ligue 1,21,2001,33.3,21,121,50,41.3,3.63,1.5,0.12,0.3,15.2,2,6,7,26.6,21,0.18,-5.6,-6,23.6
4,Alexandre Lacazette,fr FRA,FW,Lyon,fr Ligue 1,31,1991,32.5,27,107,47,43.9,3.29,1.44,0.2,0.45,14.4,8,6,8,24.1,17.8,0.17,2.9,3.2,23.1
7,Robert Lewandowski,pl POL,FW,Barcelona,es La Liga,33,1988,31.6,23,134,56,41.8,4.24,1.77,0.17,0.41,13.8,5,0,1,24.3,23.5,0.18,-1.3,-0.5,22.8
5,Victor Osimhen,ng NGA,FW,Napoli,it Serie A,23,1998,28.5,26,132,52,39.4,4.63,1.82,0.18,0.46,12.8,1,2,3,21.3,18.9,0.14,4.7,5.1,21.4
13,Wissam Ben Yedder,fr FRA,FW,Monaco,fr Ligue 1,31,1990,23.5,19,66,36,54.5,2.81,1.53,0.21,0.39,14.2,3,5,6,17.4,12.7,0.19,1.6,1.3,20.2
11,Habib Diallo,sn SEN,FW,Strasbourg,fr Ligue 1,27,1995,32,20,90,36,40,2.81,1.13,0.19,0.47,13,1,3,4,17.8,14.5,0.17,2.2,2.5,20.1
22,Lionel Messi,ar ARG,"FW,MF",Paris S-G,fr Ligue 1,35,1987,31.5,16,129,55,42.6,4.09,1.74,0.12,0.29,18.3,20,0,0,15.5,15.5,0.12,0.5,0.5,19.9
